Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1885554015,0.06659381141,0.608291637,1.724422757,1.100209246,3.168053635,12.27077974,6.612580809,5.450433156,3.298067417,4.659499749,4.376570097,6.909902013,5.960106873,7.307314505,7.252332316,8.092349209,8.788694214,5.716037341,6.440668056,4.676727598,3.111931854,3.502114155,1.744737018,3.165367278,2.192573377,2.142047834,0.7363615168,0.4634088508,2.640302812,4.999915861,2.409578645,0.5371603892
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.838438381,-7.83728072,7.755736542,14.7978301,14.99442172,13.81842457,2.704652001,2.073370798,6.331930247,7.595031241,11.12712751,8.009758996,9.470532234,12.6603432,10.86428094,3.741554173,2.694314767,3.965705212,5.110801159,2.849461193,3.124148991,2.883564759,6.198656897,10.71076287,16.61177788,10.34536344,12.67967699,10.1893673,10.818663,22.14752352,23.29947517,9.859357597,6.05699272,7.218601147,5.408828464,9.147097587,7.007593218,3.355541633,7.932232019,6.540798484,9.855756633,12.17751936,7.756302471,6.827660268,18.08949005,16.78322529,16.34966028,12.16435281
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.160746202,2.554655238,2.025313284,0.2115500369,1.492412148,0.4614681079,0.9968660728,1.033980444,1.415154475,1.104504435,1.244250976,1.326516499,1.178263041,1.687262232,0.2212891071,1.16175097,2.94263882,2.739123064,3.589231903,2.67549684,2.715816532,0.8013080655,1.518132527,1.701973012,1.38116249,3.604046631,1.137173235,1.856583533,1.900950002,0.5674080432,3.578599219,2.823052147,3.703067305,1.920995362,6.980716853,-3.606927925,4.082092962,5.197717937,4.277015978,3.115218929,3.094839434,4.688815155,3.720199337,3.453927666,4.304706644,3.470209018,3.560565952,3.636089515,4.250333048,2.781967875,1.353256055,2.024681946,4.161495042,1.879591719,3.152029198
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.7356594531,0.8023706617,0.6617149415,0.5468053219,0.5051143558,0.1982592445,0.2131955125,0.1885522383,0.2303702034,0.2544954079,0.2927664838,0.4628865587,0.2928611077,0.3008413518,0.1701736662,0.2447629967,0.1859139924,0.3197644801,0.3353687143,0.4389502668,0.3938209971,0.2079561125,0.7644932969,0.5933039149,1.02389456,0.7601560062,1.832365244,1.260586698,2.106185114,1.374399374,4.333236887,2.895722431,0.06500104981,2.375575502,1.064017002,25.83070261,3.144734688,17.80581135,1.46799597,3.581371969,-5.645396702,5.35812778,1.283002792,-0.3026334791,0.3895570412,-1.804095111,-7.239899042,3.381802756,-6.151192072,-2.852556176,-2.763320707,3.954093238,3.031433627,0.5716279554,1.783848665
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006367834395,1.843872431,13.65348699,19.74738056,28.13569005,23.0067972,11.13925587,2.46437455,14.35939227,32.46549896,55.07287666,54.36505091,33.79579783,21.38014047,13.9011035,8.161108317,6.547462364,6.337255133,6.80050012,7.596518679,3.532115987,5.888461767,7.626068377,11.88281715,7.016695984,2.977975891,3.121830561,1.187903872,-3.114734473,-5.677737106,0.3490837207,0.3112066932
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.04119760253,,0.1661233411,0.1445753724,0.06371945052,0.07601190853,0.01784070577,-0.04565913528,0.1458477102,-0.03833882146,0.500148584,1.143391787,0.08882552912,0.2807208568,0.1205497864,0.04683271687,0.1268200297,0.1208797725,0.1105524993,0.05092150132,0.1108942102,0.07645205329,0.05540789109,0.0504648857,0.0004278614082,0.1981073785,,,,-0.0588051849,1.342152443,-0.001304856474,,,0.004882857144,0.05234042132,0.002481105428,0.03688580733,0.2378162969,0.01955730048,0.03841191308,0.1500567115,0.02592503902,4.761250642,3.390075785,0.2371275548,0.002097064661,8.114501839,0.2498341675,1.175605937,0.8010858272,0.8061622743,0.7573551226,1.297942214,
Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.175757114,1.435198353,1.037371775,1.505954653,2.029158567,1.453450549,1.225906902,1.539028796,1.418122729,0.9715647697,1.217999173,1.323832479,1.598528905,1.479281134,0.4671532032,1.218860737,0.6081214589,1.576310715,3.211644354,4.274890291,3.918892271,4.447539571,4.806934393,4.783692639,3.476574827,3.711024447,5.03718761,4.74788988,8.776794077,46.34845715,37.4753123,37.25646948,7.01242444,10.86487449,12.05211067,8.727177202,14.40787139,20.50267401,36.80292045,15.94890567,26.05964075,31.03668843,2.36956901,-5.655617849,-2.826436236,-4.232614104,12.13194202,-7.444237902,-7.666495387,-1.972529978,-5.742352271,5.905797106,2.000464564,-0.4306363407,-5.352223759
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.008226454,0.8356387026,1.169784851,0.693926651,-0.422446551,0.279190961,0.3511400079,0.4167752141,0.08110726798,0.3007882161,0.3071731132,0.1618981005,-0.0009601536289,0.0009583133767,0.001088613079,-0.008606569694,0.08232904218,0.006400359535,-1.336959868,-0.07445053289,-0.1507600184,0.01982555559,0.0562914421,-0.9512168756,-0.4447516236,-0.3566686401,-0.6209458148,0.5371096634,0.4600292104,0.2532984467,-0.3634907593,0.4565881837,-0.4624234152,0.1988703493,-0.658688596,-0.1338203695,-0.1757646675,1.703869735,0.4925629902,-0.1931217646,0.5611447478,1.508440505,2.527057773,2.878637471,3.054209933,1.315011821,1.11488131,1.581704952,1.360735733,1.516207809,1.109344141,1.956086611,2.157705376,2.25158091,
Burkina Faso,BFA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.08725922232,0.2072920453,-0.1209826162,0.6520705903,0.3554627969,0.03191582042,0.2099232812,0.4393467644,0.07861295454,0.08521684384,0.001036957213,0.1368364721,0.1111459371,0.1237284554,0.1143929466,-0.09210989803,0.1542009931,0.05612205188,0.1418173774,0.2167772783,0.01483248588,0.01818155382,0.09274158998,0.09933876468,0.9693283785,0.4125512016,0.6272883287,0.398984078,0.1571227595,0.2338337219,0.7784581881,0.1964367104,0.4148157892,0.6142993946,0.2631903841,0.8481458747,1.280645787,0.2847179391,0.3511697235,0.5994689396,0.3844922198,1.190744934,2.621459905,3.647667731,2.562551548,1.959927157,3.043803499,0.01823703421,1.689199429,1.016478737,-0.5572795335,-0.4059260781,3.5586103,0.5384541851,
